id,title,description,current_category
1596,捡漏的来！原价799全新未拆封lsrc四轴无人机折叠，公司年 会活动剩下的几台无人机，照片都是实拍，到手跟图片一样的，喜欢的可以直接拍，全新未拆封！,【商品标题】捡漏的来！原价799全新未拆封lsrc四轴无人机折叠，公司年 会活动剩下的几台无人机，照片都是实拍，到手跟图片一样的，喜欢的可以直接拍，全新未拆封！ 【价格】¥145.00 【使用时长】约 13 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,摄影摄像
1595,急出甩卖掉 (原价2588航拍无人机，带全新未拆封lsrc四 轴无人机折叠高清航拍实拍 如图一致实拍后原封不动 质量杠杠的 转手原因：因之前搞线下无人机表演活动结束后剩余几台全新未拆封的，所以低价转让给有缘看到喜欢的朋友，质量杠杠的看实拍图就知道了 功能介绍 : 360°度翻滚 + 一键返...,【商品标题】急出甩卖掉 (原价2588航拍无人机，带全新未拆封lsrc四 轴无人机折叠高清航拍实拍 如图一致实拍后原封不动 质量杠杠的 转手原因：因之前搞线下无人机表演活动结束后剩余几台全新未拆封的，所以低价转让给有缘看到喜欢的朋友，质量杠杠的看实拍图就知道了 功能介绍 : 360°度翻滚 + 一键返... 【价格】¥137.00 【使用时长】约 11 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,摄影摄像
1594,大疆精灵W321无人机，带原装背包，成色如图。 配置如下：主机：大疆精灵3标准版遥控器：原装遥控器电池：原装电池背包：原装收纳包机身完整，无明显磕碰，适合航拍爱好者。不会测试 原来是好用的 放了俩月 不知道现在好不好 不退不换，不设售后，没有保修。偏远地区新疆、内蒙等不包邮。需要的朋友点"我想要"联系我！,【商品标题】大疆精灵W321无人机，带原装背包，成色如图。 配置如下：主机：大疆精灵3标准版遥控器：原装遥控器电池：原装电池背包：原装收纳包机身完整，无明显磕碰，适合航拍爱好者。不会测试 原来是好用的 放了俩月 不知道现在好不好 不退不换，不设售后，没有保修。偏远地区新疆、内蒙等不包邮。需要的朋友点"我想要"联系我！ 【价格】¥450.00 【使用时长】约 5 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,台式电脑
1593,给钱就卖(原价8766元级别航拍无人机，带全新未拆封lsrc 四轴无人机折叠高清航拍实拍 如图一致实拍后原封不动 质量杠杠的 转手原因：因之前搞线下无人机表演活动结束后剩余几台全新未拆封的，所以低价转让给有缘看到喜欢的朋友，质量杠杠的看图就知道了,【商品标题】给钱就卖(原价8766元级别航拍无人机，带全新未拆封lsrc 四轴无人机折叠高清航拍实拍 如图一致实拍后原封不动 质量杠杠的 转手原因：因之前搞线下无人机表演活动结束后剩余几台全新未拆封的，所以低价转让给有缘看到喜欢的朋友，质量杠杠的看图就知道了 【价格】¥2.00 【使用时长】约 6 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,摄影摄像
1592,GX超清双摄无人机，自带屏幕无需手机，带夜航灯+低电报警+G PS定位 功能介绍：三重定位，抗干扰能力强，导航精度高，覆盖范围广 功能介绍：地图精度高，高自动自主实时数据更新 功能介绍：无刷电机，红外避障，光流增稳，50倍变焦 功能介绍：一键返航，七键越障，自动返航保护 标配：锂电池*1，风叶*4，护...,【商品标题】GX超清双摄无人机，自带屏幕无需手机，带夜航灯+低电报警+G PS定位 功能介绍：三重定位，抗干扰能力强，导航精度高，覆盖范围广 功能介绍：地图精度高，高自动自主实时数据更新 功能介绍：无刷电机，红外避障，光流增稳，50倍变焦 功能介绍：一键返航，七键越障，自动返航保护 标配：锂电池*1，风叶*4，护... 【价格】¥20.00 【使用时长】约 15 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,手机
1591,dji mini3p长续航电池 循环10几次估计炸鸡飞丢 仅外壳破裂 功能好的 有能力的自己换个壳子,【商品标题】dji mini3p长续航电池 循环10几次估计炸鸡飞丢 仅外壳破裂 功能好的 有能力的自己换个壳子 【价格】¥59.00 【使用时长】约 8 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,数码配件
1590,清仓一件不留 (原价千元大疆航拍无人机，带全新未拆封lsrc 四轴无人机折叠高清航拍实拍 如图一致实拍后原封不动 质量杠杠的(标价就是卖价) 转卖原因:因之前搞线下无人机表演活动结束后剩余几台全新未拆封的，所以低价转让给有缘看到喜欢的朋友，质量杠杠的看实拍图就知道了，尤其是看螺旋桨翼不是他们那种低劣...,【商品标题】清仓一件不留 (原价千元大疆航拍无人机，带全新未拆封lsrc 四轴无人机折叠高清航拍实拍 如图一致实拍后原封不动 质量杠杠的(标价就是卖价) 转卖原因:因之前搞线下无人机表演活动结束后剩余几台全新未拆封的，所以低价转让给有缘看到喜欢的朋友，质量杠杠的看实拍图就知道了，尤其是看螺旋桨翼不是他们那种低劣... 【价格】¥15.00 【使用时长】约 10 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,摄影摄像
1589,2025新款玩具儿童6 - 12岁无人机入门高清航拍避障迷你 穿越机FPV-5866全新未使用原价1272电池,【商品标题】2025新款玩具儿童6 - 12岁无人机入门高清航拍避障迷你 穿越机FPV-5866全新未使用原价1272电池 【价格】¥55.00 【使用时长】约 12 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,摄影摄像
1588,甩卖急出 (原价2566航拍无人机，带全新未拆封lsrc四轴 无人机折叠高清航拍实拍 如图一致实拍后原封不动 质量杠杠的 转手原因：因之前搞线下无人机表演活动结束后剩余几台全新未拆封的，所以低价转让给有缘看到喜欢的朋友，质量杠杠的看实拍图就知道了 功能介绍 : 360°度翻滚 + 一键返航...,【商品标题】甩卖急出 (原价2566航拍无人机，带全新未拆封lsrc四轴 无人机折叠高清航拍实拍 如图一致实拍后原封不动 质量杠杠的 转手原因：因之前搞线下无人机表演活动结束后剩余几台全新未拆封的，所以低价转让给有缘看到喜欢的朋友，质量杠杠的看实拍图就知道了 功能介绍 : 360°度翻滚 + 一键返航... 【价格】¥137.00 【使用时长】约 15 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,摄影摄像
1575,几乎全新志高电竞显示屏 1K200Hz单出 24.1-26英寸大屏，功能一切正常，没修过，成色很棒，平时主要用来打游戏，CF、 州都很顺滑，画质清晰，反应速度快，玩游戏体验特别棒～有购买记录，支持同城自提，不邮寄哈爽快可聊，喜欢直接拍，细节随时问我！,【商品标题】几乎全新志高电竞显示屏 1K200Hz单出 24.1-26英寸大屏，功能一切正常，没修过，成色很棒，平时主要用来打游戏，CF、 州都很顺滑，画质清晰，反应速度快，玩游戏体验特别棒～有购买记录，支持同城自提，不邮寄哈爽快可聊，喜欢直接拍，细节随时问我！ 【价格】¥99.00 【使用时长】约 10 个月 【成色】轻微使用痕迹，功能完好 【交易方式】支持同城面交、快递邮寄 【备注】诚信交易，支持验货 ,游戏设备
